,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
2504,We cant wait to share more looks from the #ERDEMxHM collection with you. Stay tuned.  ,False,122,,2017-10-11 09:50:05,False,,918051067845337090,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,27,False,False,,,0.296,0.136,0.0,0.864
2505,"Model and #HMMagazine muse Pooja Mor in a dress that can be worn wherever, whenever and forever! <U+0001F449> ",False,94,,2017-10-10 15:00:03,True,,917766682671755267,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,14,False,False,,,-0.3595,0.0,0.128,0.872
2506,Mixing black and burgundy is always a good idea. <U+0001F44C><U+0001F3FD> #HM  ,False,340,,2017-10-10 08:00:03,False,,917660986114494466,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,70,False,False,,,0.4404,0.225,0.0,0.775
2507,"Model, creative director and #HMMagazine muse Eliana Gil Rodriguez proves that the perfect suit is timeless. ",False,115,,2017-10-09 15:00:03,True,,917404298522300416,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,20,False,False,,,0.765,0.32,0.0,0.68
2508,Discover this week's best new drops! <U+F49A>  #HMMagazine  ,False,353,,2017-10-09 07:00:03,False,,917283500038000640,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,61,False,False,,,0.6696,0.391,0.0,0.609
2509,"Rising supermodel Imaan Hammam is the star of #ErdemxHM. Today, she reveals her secrets #HMMagazine ",False,126,,2017-10-08 15:00:04,True,,917041911764017152,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,20,False,False,,,0.0,0.0,0.0,1.0
2510,"Did you know its our 70th anniversary? To celebrate, weve launched H&amp;M Fashion Finds:  #HM ",False,184,,2017-10-08 10:34:27,False,,916975068516945920,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,29,False,False,,,0.6369,0.286,0.0,0.714
2511,Wear the most perfect shirt with straight and simple jeans in a classic wash #HMMagazine  ,False,167,,2017-10-08 07:00:03,False,,916921114391207939,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,20,False,False,,,0.7089,0.312,0.0,0.688
2512,Smooth black leather and chunky wooden heels. #HMMagazine is obsessed with these premium boots! ,False,207,,2017-10-07 15:00:03,True,,916679522723999744,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,25,False,False,,,-0.2481,0.0,0.133,0.867
2513,The girl of #HMMagazine's autumn dreams models this season's absolute dream coat.  ,False,140,,2017-10-07 07:00:03,False,,916558725133078528,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,17,False,False,,,0.5719,0.32,0.0,0.68
2514,"Did you know its our 70th anniversary? To celebrate, weve launched H&amp;M Fashion Finds:  #HM ",False,148,,2017-10-06 15:04:48,False,,916318330021203968,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,34,False,False,,,0.6369,0.286,0.0,0.714
2515,Introducing the key pieces you need for the new season. <U+0001F342>#HM  ,False,194,,2017-10-06 10:15:05,False,,916245416911560705,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,26,False,False,,,0.0,0.0,0.0,1.0
2516,Don't miss out on this collab! #THEWEEKNDxHM   ,False,255,,2017-10-06 07:00:06,False,,916196348789112832,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",hm,64,False,False,,,0.1867,0.224,0.0,0.776
2517,Ankle-length flounce trousers are this seasons biggest hit. Here are the shoes to wear with them: #HMMagazine ,False,179,,2017-10-05 15:00:03,True,,915954744039964672,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,24,False,False,,,0.0,0.0,0.0,1.0
2518,Discover the capsule collection made partly from recycled fabrics. #HM  ,False,139,,2017-10-05 07:00:04,False,,915833953831047168,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,21,False,False,,,0.0,0.0,0.0,1.0
2519,Style tip: mix contrasting materials into one look. #HM  ,False,246,,2017-10-04 15:00:04,False,,915592361052426240,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,34,False,False,,,0.0,0.0,0.0,1.0
2520,This satin bomber from #THEWEEKNDxHM tho!   ,False,464,,2017-10-04 07:00:04,False,,915471563713126400,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,118,False,False,,,0.0,0.0,0.0,1.0
2521, Spotted: James Reid wearing the #THEWEEKNDxHM baseball jacket. In stores now! ,False,0,,2017-10-03 18:30:43,False,,915282986924478464,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hm,644,True,False,,,0.0,0.0,0.0,1.0
2522,Take on the season it its hottest colours. Get the look at ! ,False,260,,2017-10-03 15:00:15,False,,915230018451668993,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,46,False,False,,,0.0,0.0,0.0,1.0
2523,"Did you know its our 70th anniversary? To celebrate, weve launched H&amp;M Fashion Finds:  #HM ",False,186,,2017-10-03 10:34:17,False,,915163087870861313,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,30,False,False,,,0.6369,0.286,0.0,0.714
2524,This look will definitely bright up any cold autumn day. #HM  ,False,272,,2017-10-03 07:00:04,False,,915109176275333120,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,46,False,False,,,0.6808,0.384,0.0,0.616
2525,"Did you know its our 70th anniversary? To celebrate, weve launched H&amp;M Fashion Finds:  #HM ",False,162,,2017-10-02 17:04:39,False,,914898938913869824,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,27,False,False,,,0.6369,0.286,0.0,0.714
2526,Shop #THEWEEKNDxHM  available in stores and online!   ,False,279,,2017-10-02 15:00:11,False,,914867614060568576,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,81,False,False,,,0.0,0.0,0.0,1.0
2527,Discover this week's best new items! #HMMagazine  ,False,286,,2017-10-02 07:00:03,False,,914746785368821762,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,36,False,False,,,0.6696,0.428,0.0,0.572
2528,Meet your new lingerie look! #HM  ,False,165,,2017-10-01 15:00:23,False,,914505278472716288,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,13,False,False,,,0.0,0.0,0.0,1.0
2529,Embellished denim is far up on our wishlist! #HM  ,False,268,,2017-10-01 10:30:04,False,,914437251752480769,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,38,False,False,,,0.0,0.0,0.0,1.0
2530,"It's coffee o'clock! #nationalcoffeeday 
For more #HMHome inspo:  ",False,250,,2017-10-01 07:00:04,False,,914384401135419392,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",hm,36,False,False,,,0.0,0.0,0.0,1.0
2531,The skirt that will make heads turn  paired with sassy shoes and red details. #HM  ,False,335,,2017-09-30 10:30:03,False,,914074859130540032,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,41,False,False,,,0.0,0.0,0.0,1.0
2532,"Your weekend essentials, sorted. #HM  ",False,176,,2017-09-30 07:00:04,False,,914022013932630016,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,32,False,False,,,0.0,0.0,0.0,1.0
2533,"Halloween's coming up! Dress up in thrilling one pieces, the coolest costymes and scariest accessories! #HM ",False,126,,2017-09-29 15:00:16,True,,913780473771515904,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",hm,24,False,False,,,0.5696,0.197,0.0,0.803
2534,Team tailored outerwear with knitted retro-sport styles and let muted accent shades elevate your look. #HM #HMMan ,False,65,,2017-09-29 15:00:03,True,,913780419132243968,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",hm,15,False,False,,,0.0,0.0,0.0,1.0
