"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Goodbye junk drawers, hello organization! #IKEA SEKTION interior organizers make it easy to find what you need:… https://t.co/37znkZwZ3K",FALSE,28,NA,2017-02-24 17:00:10,TRUE,NA,"835172481031757824",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",6,FALSE,FALSE,NA,NA
"We partnered with designer Kit Neale to create the SPRIDD limited collection! Check it out: https://t.co/N6Puvmy4fS https://t.co/119EExcwaD",FALSE,11,NA,2017-02-24 00:00:02,FALSE,NA,"834915756189986817",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","IKEAUSA",7,FALSE,FALSE,NA,NA
"@paul_much Happiness: Knowing Paul will sleep safely tonight! <U+0001F634>",FALSE,0,"paul_much",2017-02-23 22:19:29,FALSE,"834877001286692865","834890448208551938","828589101804879872","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Introducing SLADDA, a bike designed to make urban life easier. Learn more: https://t.co/ZR9eFxDNkd https://t.co/XtJNi1PPOl",FALSE,60,NA,2017-02-23 17:00:15,FALSE,NA,"834810111398862849",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",19,FALSE,FALSE,NA,NA
"Add a pop of color to your #bathroom to brighten up your mornings! https://t.co/khjVAu1SE2 https://t.co/VYPoZyHICY",FALSE,24,NA,2017-02-23 00:00:06,FALSE,NA,"834553383142903812",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",11,FALSE,FALSE,NA,NA
"Hej @jimmyfallon - Make it a slumber party! We'll bring the meatballs if you host a Swedish lip sync battle.",FALSE,268,"jimmyfallon",2017-02-22 22:45:45,FALSE,"834514594659975168","834534672482840576","15485441","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IKEAUSA",45,FALSE,FALSE,NA,NA
"Keep your child safe! Watch for tips to help prevent furniture tip-over injuries &amp; deaths. https://t.co/luzH4Y09Bz",FALSE,6,NA,2017-02-22 20:00:03,FALSE,NA,"834492973219852288",NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","IKEAUSA",4,FALSE,FALSE,NA,NA
"Enjoy a cup with friends and take a #FIKA break! https://t.co/3uC3ijXlfM https://t.co/DAARFEaJRm",FALSE,27,NA,2017-02-22 17:00:10,FALSE,NA,"834447705740972047",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",5,FALSE,FALSE,NA,NA
"Make some upgrades to the way you start your day. Check out the latest #IKEA offers: https://t.co/vJFlWT71IK https://t.co/czOi66dlAG",FALSE,31,NA,2017-02-22 00:00:05,FALSE,NA,"834190992915902464",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",11,FALSE,FALSE,NA,NA
"@rchllwlsn Hello, sorry for the confusion. This image is on Unsplash, so it's licensed under Creative Commons Zero: https://t.co/kBVQxWOHEb",FALSE,1,NA,2017-02-21 22:03:50,FALSE,NA,"834161734197866497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Sharing a little something sweet from the IKEA Bistro for #NationalStickyBunDay! https://t.co/wXThdgQnxK https://t.co/4fqprA3uJ8",FALSE,27,NA,2017-02-21 17:00:13,FALSE,NA,"834085328084312064",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",3,FALSE,FALSE,NA,NA
"Save 15% on select bed frames and mattresses through February 28! More #IKEAFAMILY offers: https://t.co/vJFlWT71IK https://t.co/c4hxLfOPeK",FALSE,26,NA,2017-02-21 00:00:15,FALSE,NA,"833828644711587840",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",8,FALSE,FALSE,NA,NA
"@KGullic We're happy to hear you had a good visit! We'd love to see a photo of your library room once it's complete. <U+0001F4DA>",FALSE,2,"KGullic",2017-02-20 19:28:38,FALSE,"833755194177572866","833760289426403328","2211739008","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"Show your puppies, kittens, turtles, goldfish &amp; more some love on #LoveYourPetDay! https://t.co/j9VcXfcLi6",FALSE,21,NA,2017-02-20 17:00:11,FALSE,NA,"833722930802544640",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",14,FALSE,FALSE,NA,NA
"Getting a good night's sleep is no problem when you have soft bed linens to wrap up in! https://t.co/O6kwlPccrL https://t.co/W5RYQCiaop",FALSE,45,NA,2017-02-20 00:00:11,FALSE,NA,"833466241280913408",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",12,FALSE,FALSE,NA,NA
"Your dream #kitchen starts here: https://t.co/iZWOLgC65h https://t.co/2vk3WVc0uq",FALSE,24,NA,2017-02-19 17:00:12,FALSE,NA,"833360548448268288",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",10,FALSE,FALSE,NA,NA
"Designed by free thinkers, for free thinkers. Shop the #IKEA PS 2017 collection: https://t.co/N6Puvmy4fS https://t.co/Re9ToEHEoA",FALSE,40,NA,2017-02-19 00:00:08,FALSE,NA,"833103841390317568",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",16,FALSE,FALSE,NA,NA
"@MichaelCFurr Excuse our typo, we meant bin number furr. <U+0001F603>",FALSE,5,"MichaelCFurr",2017-02-18 22:39:13,FALSE,"833080436108718082","833083477616623616","310603865","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
"@dan_alphabet Aisle adorable, bin number fur! :)",FALSE,2,"dan_alphabet",2017-02-18 21:34:51,FALSE,"833065137439375361","833067278417682433","17576209","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",1,FALSE,FALSE,NA,NA
"@JessieyTrev has the best opinions.",FALSE,0,"JessieyTrev",2017-02-18 18:37:05,FALSE,"833019480930414592","833022544059973632","797501256801669121","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",2,FALSE,FALSE,NA,NA
"Retweet if you're celebrating #NationalWineDay! Shop #IKEA wine glasses: https://t.co/ZLSuC8voBt https://t.co/B3OxjUv6kU",FALSE,22,NA,2017-02-18 17:00:10,FALSE,NA,"832998153372655616",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",6,FALSE,FALSE,NA,NA
"@cmhwolf The wait is almost over Wayne! We can't wait to see you there. <U+0001F60A>",FALSE,1,"cmhwolf",2017-02-18 16:41:33,FALSE,"832981339397820416","832993466414166017","40749442","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IKEAUSA",0,FALSE,FALSE,NA,NA
