"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BentleySystems: Introducing SYNCHRO XR, our new #mixedreality app for 4D construction projects with the Microsoft @HoloLens 2: https://…",FALSE,0,NA,2019-02-25 22:52:22,FALSE,NA,"1100166641134985216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",77,TRUE,FALSE,NA,NA
"RT @PhilipsPR: .@Philips showcases unique augmented reality concept for image-guided minimally invasive therapies developed with @Microsoft…",FALSE,0,NA,2019-02-25 22:06:34,FALSE,NA,"1100155118148759552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",198,TRUE,FALSE,NA,NA
"Work smarter with mixed reality and the new #HoloLens2: https://t.co/BigllEuig4 #MWC19",FALSE,389,NA,2019-02-25 19:17:00,FALSE,NA,"1100112444800856065",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",99,FALSE,FALSE,NA,NA
"RT @MSCloud: Microsoft and #Telefonica are partnering to transform the telecom industry with #AI-powered in-home experiences and expanded u…",FALSE,0,NA,2019-02-25 19:06:32,FALSE,NA,"1100109809586556928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",23,TRUE,FALSE,NA,NA
"Today, we're introducing the ultimate intelligent edge device: #HoloLens2. https://t.co/ZNLPy4T8Le  #MWC19",FALSE,2055,NA,2019-02-24 18:09:57,FALSE,NA,"1099733182935642112",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",834,FALSE,FALSE,NA,NA
"RT @satyanadella: Our collective opportunity in this era of the intelligent cloud and intelligent edge has never been greater, and with our…",FALSE,0,NA,2019-02-24 17:50:53,FALSE,NA,"1099728386597900288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",802,TRUE,FALSE,NA,NA
"RT @HoloLens: Say hello to #HoloLens2. https://t.co/eVBQ9OUeM1",FALSE,0,NA,2019-02-24 17:23:23,FALSE,NA,"1099721461860683777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Microsoft",4128,TRUE,FALSE,NA,NA
"Applying technology to empower every individual and every organization with a world-changing vision and a passion a… https://t.co/A35FdbSF4J",FALSE,310,NA,2019-02-24 17:16:10,TRUE,NA,"1099719648248020992",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",101,FALSE,FALSE,NA,NA
"""That's what we're building technology for.
To give each of us super powers,
To enable more people to thrive and fu… https://t.co/MURVxgP67u",FALSE,276,NA,2019-02-24 17:14:27,TRUE,NA,"1099719215467167744",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",91,FALSE,FALSE,NA,NA
"""Our mission determines what we build and how we build it – and it defines how we view the role of technology in ou… https://t.co/2oiwRA1BdA",FALSE,292,NA,2019-02-24 17:12:53,TRUE,NA,"1099718822196637697",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",86,FALSE,FALSE,NA,NA
